Prompt,Response
What does state law require with regard to planning and land use?,"- Local governments must have a planning agency with sufficient powers to carry out state law
- Must be long-term, comprehensive land use plan
- Planning agency will enact that plan via ordinance"
What is the General Plan?,"A long-term, comprehensive plan for future growth and development, akin to a roadmap. It is statutorily required but not statutory law."
What are the two components of a General Plan?,Elements (e.g. Housing Element) and Area Plans
What are the two basic components of an Element?,Goals/Objectives and Implementing Programs/Actions
What does the Planning Code do?,Lays out how to implement the General Plan.
What are some types of districts in the Planning Code?,"- Zoning Use District - commercial, residential, etc.
- Height + Bulk District - how high and wide buildings can be"
Describe Conditional Use Authorization,Makes exceptions for land use projects (e.g. housing) that do not comply with Planning Code.
Describe Discretionary Review,Planning Commission has the ability to disprove a project fully in compliance with Planning Code (undoes by-right development).
Describe the functions of the Planning Department,"- Responsible for writing General Plan
- Referrals - reviews of proposed ordinances pertaining to land use
- Enforcement of Planning Code - Zoning Administrator has enforcement team
- Permits and licenses - power is formally granted to Planning Commission, but is for the most part delegated to Department"
What does the California Department of Housing & Community Development do?,"Looks at population growth, economic conditions, etc. to forecast how much housing will be needed by region via the Regional Housing Needs Determination (RHND)"
How many new units of housing does the RHND require the Bay Area to build by 2031?,441K units
Define the difference between the Regional Housing Needs Determination and the Regional Housing Needs Allocation,"The Regional Housing Needs Determination (RHND) is the process by which the state, with input from regional councils of governments, determines the total housing need for each region, while Regional Housing Needs Allocation (RHNA) is the process by which regional councils of governments allocate that need among the cities and counties within their region."
What is the Bay Area governmental body relevant to RHNA? ,Association of Bay Area Governments (ABAG)
How many new units of housing does the RHNA require San Francisco build by 2031?,82K units
Briefly describe the impact of SB423,"If San Francisco is behind on permitting approvals for new units, certain types of housing will switch from subject to discretionary review to by-right (ie Planning Commission can’t block) → pre-emption of San Francisco case law "
